Year,Count,Game
2017,3080769,PUBG
2017,665371,CSGO
2017,170316,Grand Theft Auto V
2017,100433,Rainbow Six Siege
2018,3236027,PUBG
2018,746548,CSGO
2018,167754,Grand Theft Auto V
2018,143866,Rainbow Six Siege
2019,1084606,PUBG
2019,767060,CSGO
2019,204137,Grand Theft Auto V
2019,148365,Rainbow Six Siege
2020,913075,PUBG
2020,1305714,CSGO
2020,267360,Grand Theft Auto V
2020,198567,Rainbow Six Siege
2021,463480,PUBG
2021,1198581,CSGO
2021,218784,Grand Theft Auto V
2021,199830,Rainbow Six Siege
