Date,PUBG,CSGO,Grand_Theft_Auto_V,Rainbow_Six_Siege
201709,1550463,665371,101433,69988
201710,2390946,639968,84553,59895
201711,2915723,601881,85105,99110
201712,3080769,598405,170316,100433
201801,3236027,715850,167754,109103
201802,2934761,686588,94308,125133
201803,2799269,672502,94489,176208
201804,2456361,523262,89792,124813
201805,2175704,454481,82956,142362
201806,1750216,420261,118332,141630
201807,1350463,426008,162021,116054
201808,1260894,454370,123556,134159
201809,1125229,583029,97920,143866
201810,1048662,565968,81337,123794
201811,895650,546031,81360,115820
201812,1109766,746548,120693,129558
201901,1084606,684511,118210,137434
201902,931754,654069,119439,136018
201903,931407,680071,126518,134776
201904,886255,621614,91586,124989
201905,817595,588453,108557,115381
201906,745960,587724,109164,140274
201907,745224,578933,197555,128458
201908,750941,647461,176207,138827
201909,660864,720052,135072,148365
201910,637870,747937,117002,125590
201911,695920,758412,138540,123848
201912,686239,767060,204137,138681
202001,645414,817229,214796,157948
202002,606689,916996,267360,178824
202003,562028,1145972,209493,198567
202004,913075,1305714,243284,194102
202005,553121,1193359,260562,146359
202006,546359,1009467,180302,126733
202007,469568,857560,134093,122438
202008,443390,925348,154677,127249
202009,403693,977769,126174,163478
202010,381079,943876,128578,114281
202011,438919,1037464,157355,94968
202012,444680,1164396,258539,123374
202101,451998,1124553,184941,123637
202102,447390,1123485,146438,113338
202103,463480,1198581,183227,199830
202104,453579,1148077,178142,142422
202105,419509,1087197,146011,108281
202106,427913,929940,155599,100214
202107,413274,763523,218784,89513
202108,444355,802544,214591,93643
202109,400709,942519,151408,111554
202110,393496,864966,136046,79691
202111,341570,935593,136818,71142
202112,363839,950586,173538,83292
